food_name,unit
西红柿,g
番茄,g
生西红柿,g
西红柿（生）,g
西红柿,块
番茄,块
生西红柿,块
西红柿（生）,块
西红柿,片
番茄,片
生西红柿,片
西红柿（生）,片
鸡蛋白,个
鸡蛋蛋白,个
蛋白,个
蛋白儿,个
水煮鸡蛋白,个
煮鸡蛋白,个
水煮蛋白,个
鸡蛋白,g
鸡蛋蛋白,g
蛋白,g
蛋白儿,g
水煮鸡蛋白,g
煮鸡蛋白,g
水煮蛋白,g
鸡蛋白,颗
鸡蛋蛋白,颗
蛋白,颗
蛋白儿,颗
水煮鸡蛋白,颗
煮鸡蛋白,颗
水煮蛋白,颗
鸡蛋白,份
鸡蛋蛋白,份
蛋白,份
蛋白儿,份
水煮鸡蛋白,份
煮鸡蛋白,份
水煮蛋白,份
鸡蛋白,只
鸡蛋蛋白,只
蛋白,只
蛋白儿,只
水煮鸡蛋白,只
煮鸡蛋白,只
水煮蛋白,只
柚子,瓣
红心柚子,瓣
柚子果肉,瓣
红柚子,瓣
柚子,小瓣
红心柚子,小瓣
柚子果肉,小瓣
红柚子,小瓣
柚子,g
红心柚子,g
柚子果肉,g
红柚子,g
柚子,口
红心柚子,口
柚子果肉,口
红柚子,口
柚子,个
红心柚子,个
柚子果肉,个
红柚子,个
柚子,块
红心柚子,块
柚子果肉,块
红柚子,块
柚子,盒
红心柚子,盒
柚子果肉,盒
红柚子,盒
柚子,碗
红心柚子,碗
柚子果肉,碗
红柚子,碗
柚子,kg
红心柚子,kg
柚子果肉,kg
红柚子,kg
柚子,份
红心柚子,份
柚子果肉,份
红柚子,份
葡萄,颗
葡萄,g
葡萄,个
葡萄,串
葡萄,份
葡萄,粒
面包,个
面包,片
面包,g
面包,块
面包,份
面包,袋
面包,包
鸡腿,只
水煮鸡腿,只
蒸鸡腿,只
蒸浸鸡腿,只
鸡腿,个
水煮鸡腿,个
蒸鸡腿,个
蒸浸鸡腿,个
鸡腿,g
水煮鸡腿,g
蒸鸡腿,g
蒸浸鸡腿,g
鸡腿,份
水煮鸡腿,份
蒸鸡腿,份
蒸浸鸡腿,份
鸡腿,块
水煮鸡腿,块
蒸鸡腿,块
蒸浸鸡腿,块
鸡腿,小盘
水煮鸡腿,小盘
蒸鸡腿,小盘
蒸浸鸡腿,小盘
鸡腿,根
水煮鸡腿,根
蒸鸡腿,根
蒸浸鸡腿,根
橘子,个
柑橘,个
柑橘类水果,个
橘子,g
柑橘,g
柑橘类水果,g
橘子,瓣
柑橘,瓣
柑橘类水果,瓣
胡萝卜,根
煮胡萝卜,根
水煮胡萝卜,根
水煮胡萝卜（无油）,根
蒸胡萝卜,根
胡萝卜,g
煮胡萝卜,g
水煮胡萝卜,g
水煮胡萝卜（无油）,g
蒸胡萝卜,g
胡萝卜,个
煮胡萝卜,个
水煮胡萝卜,个
水煮胡萝卜（无油）,个
蒸胡萝卜,个
胡萝卜,盘
煮胡萝卜,盘
水煮胡萝卜,盘
水煮胡萝卜（无油）,盘
蒸胡萝卜,盘
胡萝卜,小盘
煮胡萝卜,小盘
水煮胡萝卜,小盘
水煮胡萝卜（无油）,小盘
蒸胡萝卜,小盘
胡萝卜,碗
煮胡萝卜,碗
水煮胡萝卜,碗
水煮胡萝卜（无油）,碗
蒸胡萝卜,碗
胡萝卜,小碗
煮胡萝卜,小碗
水煮胡萝卜,小碗
水煮胡萝卜（无油）,小碗
蒸胡萝卜,小碗
胡萝卜,块
煮胡萝卜,块
水煮胡萝卜,块
水煮胡萝卜（无油）,块
蒸胡萝卜,块
胡萝卜,段
煮胡萝卜,段
水煮胡萝卜,段
水煮胡萝卜（无油）,段
蒸胡萝卜,段
胡萝卜,小块
煮胡萝卜,小块
水煮胡萝卜,小块
水煮胡萝卜（无油）,小块
蒸胡萝卜,小块
胡萝卜,片
煮胡萝卜,片
水煮胡萝卜,片
水煮胡萝卜（无油）,片
蒸胡萝卜,片
胡萝卜,份
煮胡萝卜,份
水煮胡萝卜,份
水煮胡萝卜（无油）,份
蒸胡萝卜,份
橙子,个
橙子,g
橙子,瓣
橙子,片
小米粥,小碗
小米粥,碗
小米粥,g
小米粥,杯
小米粥,份
火龙果,个
红心火龙果,个
白心火龙果,个
火龙果块,个
火龙果,g
红心火龙果,g
白心火龙果,g
火龙果块,g
火龙果,块
红心火龙果,块
白心火龙果,块
火龙果块,块
蛋白粉,勺
Allmax 蛋白粉,勺
foyes蛋白粉,勺
on蛋白粉,勺
概特蛋白粉,勺
怡可纳蛋白粉,勺
ON蛋白粉,勺
蛋白粉,g
Allmax 蛋白粉,g
foyes蛋白粉,g
on蛋白粉,g
概特蛋白粉,g
怡可纳蛋白粉,g
ON蛋白粉,g
蛋白粉,ml
Allmax 蛋白粉,ml
foyes蛋白粉,ml
on蛋白粉,ml
概特蛋白粉,ml
怡可纳蛋白粉,ml
ON蛋白粉,ml
蛋白粉,袋
Allmax 蛋白粉,袋
foyes蛋白粉,袋
on蛋白粉,袋
概特蛋白粉,袋
怡可纳蛋白粉,袋
ON蛋白粉,袋
蛋白粉,条
Allmax 蛋白粉,条
foyes蛋白粉,条
on蛋白粉,条
概特蛋白粉,条
怡可纳蛋白粉,条
ON蛋白粉,条
蛋白粉,杯
Allmax 蛋白粉,杯
foyes蛋白粉,杯
on蛋白粉,杯
概特蛋白粉,杯
怡可纳蛋白粉,杯
ON蛋白粉,杯
蛋白粉,份
Allmax 蛋白粉,份
foyes蛋白粉,份
on蛋白粉,份
概特蛋白粉,份
怡可纳蛋白粉,份
ON蛋白粉,份
燕麦,小把
纯燕麦,小把
桂格 即食燕麦片（原味）,小把
澳洲燕麦,小把
杂粮燕麦,小把
Member's Mark 快熟燕麦片,小把
桂格 快煮燕麦片（原味）,小把
即食燕麦,小把
纯燕麦片,小把
藜麦燕麦片,小把
隔夜燕麦（基础版）,小把
澳洲燕麦片,小把
山姆燕麦,小把
燕麦,g
纯燕麦,g
桂格 即食燕麦片（原味）,g
澳洲燕麦,g
杂粮燕麦,g
Member's Mark 快熟燕麦片,g
桂格 快煮燕麦片（原味）,g
即食燕麦,g
纯燕麦片,g
藜麦燕麦片,g
隔夜燕麦（基础版）,g
澳洲燕麦片,g
山姆燕麦,g
燕麦,份
纯燕麦,份
桂格 即食燕麦片（原味）,份
澳洲燕麦,份
杂粮燕麦,份
Member's Mark 快熟燕麦片,份
桂格 快煮燕麦片（原味）,份
即食燕麦,份
纯燕麦片,份
藜麦燕麦片,份
隔夜燕麦（基础版）,份
澳洲燕麦片,份
山姆燕麦,份
燕麦,碗
纯燕麦,碗
桂格 即食燕麦片（原味）,碗
澳洲燕麦,碗
杂粮燕麦,碗
Member's Mark 快熟燕麦片,碗
桂格 快煮燕麦片（原味）,碗
即食燕麦,碗
纯燕麦片,碗
藜麦燕麦片,碗
隔夜燕麦（基础版）,碗
澳洲燕麦片,碗
山姆燕麦,碗
燕麦,小碗
纯燕麦,小碗
桂格 即食燕麦片（原味）,小碗
澳洲燕麦,小碗
杂粮燕麦,小碗
Member's Mark 快熟燕麦片,小碗
桂格 快煮燕麦片（原味）,小碗
即食燕麦,小碗
纯燕麦片,小碗
藜麦燕麦片,小碗
隔夜燕麦（基础版）,小碗
澳洲燕麦片,小碗
山姆燕麦,小碗
燕麦,块
纯燕麦,块
桂格 即食燕麦片（原味）,块
澳洲燕麦,块
杂粮燕麦,块
Member's Mark 快熟燕麦片,块
桂格 快煮燕麦片（原味）,块
即食燕麦,块
纯燕麦片,块
藜麦燕麦片,块
隔夜燕麦（基础版）,块
澳洲燕麦片,块
山姆燕麦,块
燕麦,杯
纯燕麦,杯
桂格 即食燕麦片（原味）,杯
澳洲燕麦,杯
杂粮燕麦,杯
Member's Mark 快熟燕麦片,杯
桂格 快煮燕麦片（原味）,杯
即食燕麦,杯
纯燕麦片,杯
藜麦燕麦片,杯
隔夜燕麦（基础版）,杯
澳洲燕麦片,杯
山姆燕麦,杯
燕麦,勺
纯燕麦,勺
桂格 即食燕麦片（原味）,勺
澳洲燕麦,勺
杂粮燕麦,勺
Member's Mark 快熟燕麦片,勺
桂格 快煮燕麦片（原味）,勺
即食燕麦,勺
纯燕麦片,勺
藜麦燕麦片,勺
隔夜燕麦（基础版）,勺
澳洲燕麦片,勺
山姆燕麦,勺
燕麦,小勺
纯燕麦,小勺
桂格 即食燕麦片（原味）,小勺
澳洲燕麦,小勺
杂粮燕麦,小勺
Member's Mark 快熟燕麦片,小勺
桂格 快煮燕麦片（原味）,小勺
即食燕麦,小勺
纯燕麦片,小勺
藜麦燕麦片,小勺
隔夜燕麦（基础版）,小勺
澳洲燕麦片,小勺
山姆燕麦,小勺
燕麦,包
纯燕麦,包
桂格 即食燕麦片（原味）,包
澳洲燕麦,包
杂粮燕麦,包
Member's Mark 快熟燕麦片,包
桂格 快煮燕麦片（原味）,包
即食燕麦,包
纯燕麦片,包
藜麦燕麦片,包
隔夜燕麦（基础版）,包
澳洲燕麦片,包
山姆燕麦,包
燕麦,袋
纯燕麦,袋
桂格 即食燕麦片（原味）,袋
澳洲燕麦,袋
杂粮燕麦,袋
Member's Mark 快熟燕麦片,袋
桂格 快煮燕麦片（原味）,袋
即食燕麦,袋
纯燕麦片,袋
藜麦燕麦片,袋
隔夜燕麦（基础版）,袋
澳洲燕麦片,袋
山姆燕麦,袋
燕麦,罐
纯燕麦,罐
桂格 即食燕麦片（原味）,罐
澳洲燕麦,罐
杂粮燕麦,罐
Member's Mark 快熟燕麦片,罐
桂格 快煮燕麦片（原味）,罐
即食燕麦,罐
纯燕麦片,罐
藜麦燕麦片,罐
隔夜燕麦（基础版）,罐
澳洲燕麦片,罐
山姆燕麦,罐
小番茄,颗
小西红柿,颗
圣女果,颗
樱桃番茄,颗
红色小番茄,颗
小番茄,g
小西红柿,g
圣女果,g
樱桃番茄,g
红色小番茄,g
小番茄,份
小西红柿,份
圣女果,份
樱桃番茄,份
红色小番茄,份
小番茄,个
小西红柿,个
圣女果,个
樱桃番茄,个
红色小番茄,个
李子,颗
青李子,颗
李子,个
青李子,个
李子,g
青李子,g
卤牛肉,小盘
五香卤牛肉,小盘
酱卤牛肉,小盘
卤牛肉,袋
五香卤牛肉,袋
酱卤牛肉,袋
卤牛肉,g
五香卤牛肉,g
酱卤牛肉,g
卤牛肉,片
五香卤牛肉,片
酱卤牛肉,片
卤牛肉,份
五香卤牛肉,份
酱卤牛肉,份
金针菇,小盘
水煮金针菇,小盘
金针菇（生）,小盘
金针菇,g
水煮金针菇,g
金针菇（生）,g
金针菇,份
水煮金针菇,份
金针菇（生）,份
金针菇,串
水煮金针菇,串
金针菇（生）,串
金针菇,盘
水煮金针菇,盘
金针菇（生）,盘
金针菇,个
水煮金针菇,个
金针菇（生）,个
金针菇,包
水煮金针菇,包
金针菇（生）,包
金针菇,把
水煮金针菇,把
金针菇（生）,把
烤肠,根
烤火腿肠,根
火腿肠,根
烤肠,个
烤火腿肠,个
火腿肠,个
烤肠,g
烤火腿肠,g
火腿肠,g
桃,个
桃子,个
桃（均值）,个
脆桃,个
桃,片
桃子,片
桃（均值）,片
脆桃,片
桃,拳
桃子,拳
桃（均值）,拳
脆桃,拳
桃,块
桃子,块
桃（均值）,块
脆桃,块
桃,g
桃子,g
桃（均值）,g
脆桃,g
椰子水,杯
IF 椰子水,杯
三麟 椰子水,杯
佳果源 椰子水,杯
hellococo 100%椰子水,杯
Member's Mark 椰子水,杯
100%椰子水,杯
if椰子水,杯
水妈妈 椰子水,杯
轻上椰子水,杯
KARA 椰子水,杯
三麟椰子水,杯
711椰子水,杯
盒马椰子水,杯
轻上100%椰子水,杯
VITACOCO 纯椰子水,杯
椰子水,ml
IF 椰子水,ml
三麟 椰子水,ml
佳果源 椰子水,ml
hellococo 100%椰子水,ml
Member's Mark 椰子水,ml
100%椰子水,ml
if椰子水,ml
水妈妈 椰子水,ml
轻上椰子水,ml
KARA 椰子水,ml
三麟椰子水,ml
711椰子水,ml
盒马椰子水,ml
轻上101%椰子水,ml
VITACOCO 纯椰子水,ml
椰子水,l
IF 椰子水,l
三麟 椰子水,l
佳果源 椰子水,l
hellococo 100%椰子水,l
Member's Mark 椰子水,l
100%椰子水,l
if椰子水,l
水妈妈 椰子水,l
轻上椰子水,l
KARA 椰子水,l
三麟椰子水,l
711椰子水,l
盒马椰子水,l
轻上102%椰子水,l
VITACOCO 纯椰子水,l
椰子水,瓶
IF 椰子水,瓶
三麟 椰子水,瓶
佳果源 椰子水,瓶
hellococo 100%椰子水,瓶
Member's Mark 椰子水,瓶
100%椰子水,瓶
if椰子水,瓶
水妈妈 椰子水,瓶
轻上椰子水,瓶
KARA 椰子水,瓶
三麟椰子水,瓶
711椰子水,瓶
盒马椰子水,瓶
轻上103%椰子水,瓶
VITACOCO 纯椰子水,瓶
椰子水,g
IF 椰子水,g
三麟 椰子水,g
佳果源 椰子水,g
hellococo 100%椰子水,g
Member's Mark 椰子水,g
100%椰子水,g
if椰子水,g
水妈妈 椰子水,g
轻上椰子水,g
KARA 椰子水,g
三麟椰子水,g
711椰子水,g
盒马椰子水,g
轻上104%椰子水,g
VITACOCO 纯椰子水,g
椰子水,份
IF 椰子水,份
三麟 椰子水,份
佳果源 椰子水,份
hellococo 100%椰子水,份
Member's Mark 椰子水,份
100%椰子水,份
if椰子水,份
水妈妈 椰子水,份
轻上椰子水,份
KARA 椰子水,份
三麟椰子水,份
711椰子水,份
盒马椰子水,份
轻上105%椰子水,份
VITACOCO 纯椰子水,份
椰子水,袋
IF 椰子水,袋
三麟 椰子水,袋
佳果源 椰子水,袋
hellococo 100%椰子水,袋
Member's Mark 椰子水,袋
100%椰子水,袋
if椰子水,袋
水妈妈 椰子水,袋
轻上椰子水,袋
KARA 椰子水,袋
三麟椰子水,袋
711椰子水,袋
盒马椰子水,袋
轻上106%椰子水,袋
VITACOCO 纯椰子水,袋
椰子水,个
IF 椰子水,个
三麟 椰子水,个
佳果源 椰子水,个
hellococo 100%椰子水,个
Member's Mark 椰子水,个
100%椰子水,个
if椰子水,个
水妈妈 椰子水,个
轻上椰子水,个
KARA 椰子水,个
三麟椰子水,个
711椰子水,个
盒马椰子水,个
轻上107%椰子水,个
VITACOCO 纯椰子水,个
椰子水,盒
IF 椰子水,盒
三麟 椰子水,盒
佳果源 椰子水,盒
hellococo 100%椰子水,盒
Member's Mark 椰子水,盒
100%椰子水,盒
if椰子水,盒
水妈妈 椰子水,盒
轻上椰子水,盒
KARA 椰子水,盒
三麟椰子水,盒
711椰子水,盒
盒马椰子水,盒
轻上108%椰子水,盒
VITACOCO 纯椰子水,盒
鸡肉,g
蒸鸡肉,g
手撕鸡肉,g
白切鸡肉,g
水煮鸡肉,g
清蒸鸡肉,g
鸡肉,块
蒸鸡肉,块
手撕鸡肉,块
白切鸡肉,块
水煮鸡肉,块
清蒸鸡肉,块
鸡肉,份
蒸鸡肉,份
手撕鸡肉,份
白切鸡肉,份
水煮鸡肉,份
清蒸鸡肉,份
鸡肉,碗
蒸鸡肉,碗
手撕鸡肉,碗
白切鸡肉,碗
水煮鸡肉,碗
清蒸鸡肉,碗
鸡肉,拳
蒸鸡肉,拳
手撕鸡肉,拳
